[DEBUG] 2021-12-15 16:51:41.197 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@1df7cad9
[DEBUG] 2021-12-15 16:51:41.198 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@208abff9
[DEBUG] 2021-12-15 16:51:41.198 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@208abff9
[DEBUG] 2021-12-15 16:51:41.198 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@208abff9
[DEBUG] 2021-12-15 16:51:41.198 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@2a1e9411
[DEBUG] 2021-12-15 16:51:41.198 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@38c605d7
[DEBUG] 2021-12-15 16:51:41.202 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@30a15e79
[DEBUG] 2021-12-15 16:51:41.202 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@30a15e79
[DEBUG] 2021-12-15 16:51:41.205 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@6537fc3a
[DEBUG] 2021-12-15 16:51:41.206 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@d5293ce
[DEBUG] 2021-12-15 16:51:41.210 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@d5293ce
[DEBUG] 2021-12-15 16:51:41.214 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@375c4e3a
[DEBUG] 2021-12-15 16:51:41.214 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@375c4e3a
[DEBUG] 2021-12-15 16:51:41.214 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@2009be9
[DEBUG] 2021-12-15 16:51:41.214 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@176fcd78
[DEBUG] 2021-12-15 16:51:41.217 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@40d3afbb
[DEBUG] 2021-12-15 16:51:41.222 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@63a12cc8
[DEBUG] 2021-12-15 16:51:41.222 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@63a12cc8
[DEBUG] 2021-12-15 16:51:41.224 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@77425a9e
[DEBUG] 2021-12-15 16:51:41.225 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@7d05cf58
