[DEBUG] 2021-12-14 22:23:05.054 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@72825400
[DEBUG] 2021-12-14 22:23:05.054 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@72825400
[DEBUG] 2021-12-14 22:23:05.054 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@72825400
[DEBUG] 2021-12-14 22:23:05.056 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1866da85
[DEBUG] 2021-12-14 22:23:05.056 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1f3165e7
[DEBUG] 2021-12-14 22:23:05.056 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1f3165e7
[DEBUG] 2021-12-14 22:23:05.056 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@45c2e0a6
[DEBUG] 2021-12-14 22:23:05.057 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@45c2e0a6
[DEBUG] 2021-12-14 22:23:05.057 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@a0f53fc
[DEBUG] 2021-12-14 22:23:05.062 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@a0f53fc
[DEBUG] 2021-12-14 22:23:05.062 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@3727f0ee
[DEBUG] 2021-12-14 22:23:05.063 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@3727f0ee
[DEBUG] 2021-12-14 22:23:05.063 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@26221bad
[DEBUG] 2021-12-14 22:23:05.063 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@26221bad
[DEBUG] 2021-12-14 22:23:05.063 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@6c6333cd
[DEBUG] 2021-12-14 22:23:05.064 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@278667fd
[DEBUG] 2021-12-14 22:23:05.064 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@278667fd
[DEBUG] 2021-12-14 22:23:05.064 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@278667fd
[DEBUG] 2021-12-14 22:23:05.064 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1000d54d
[DEBUG] 2021-12-14 22:23:05.066 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1000d54d
[DEBUG] 2021-12-14 22:23:05.066 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1000d54d
[DEBUG] 2021-12-14 22:23:05.067 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@7636823f
[DEBUG] 2021-12-14 22:23:05.067 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@7fd26ad8
[DEBUG] 2021-12-14 22:23:05.068 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@54cf7c6a
[DEBUG] 2021-12-14 22:23:05.068 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@54cf7c6a
[DEBUG] 2021-12-14 22:23:05.068 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@54cf7c6a
[DEBUG] 2021-12-14 22:23:05.072 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@73010765
