[DEBUG] 2021-12-14 22:33:23.318 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@6ec7bce0
[DEBUG] 2021-12-14 22:33:23.318 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@6ec7bce0
[DEBUG] 2021-12-14 22:33:23.319 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@6b69761b
[DEBUG] 2021-12-14 22:33:23.320 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@6b69761b
[DEBUG] 2021-12-14 22:33:23.320 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@35f639fa
[DEBUG] 2021-12-14 22:33:23.320 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@1702830d
[DEBUG] 2021-12-14 22:33:23.320 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@1702830d
[DEBUG] 2021-12-14 22:33:23.324 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@1702830d
[DEBUG] 2021-12-14 22:33:23.324 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@3f702946
[DEBUG] 2021-12-14 22:33:23.324 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3f702946
[DEBUG] 2021-12-14 22:33:23.325 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@3f702946
[DEBUG] 2021-12-14 22:33:23.325 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@2620e717
[DEBUG] 2021-12-14 22:33:23.325 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@2b34e38c
[DEBUG] 2021-12-14 22:33:23.326 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@468dda3e
[DEBUG] 2021-12-14 22:33:23.326 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@468dda3e
[DEBUG] 2021-12-14 22:33:23.326 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@468dda3e
[DEBUG] 2021-12-14 22:33:23.326 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@67f3d192
[DEBUG] 2021-12-14 22:33:23.326 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@67f3d192
[DEBUG] 2021-12-14 22:33:23.326 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@67f3d192
[DEBUG] 2021-12-14 22:33:23.327 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@52169758
[DEBUG] 2021-12-14 22:33:23.327 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@d0865a3
[DEBUG] 2021-12-14 22:33:23.327 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@35eb4a3b
[DEBUG] 2021-12-14 22:33:23.327 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@35eb4a3b
[DEBUG] 2021-12-14 22:33:23.328 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@26b95b0b
[DEBUG] 2021-12-14 22:33:23.328 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@71d9cb05
[DEBUG] 2021-12-14 22:33:23.328 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@71d9cb05
[DEBUG] 2021-12-14 22:33:23.329 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@41fe8e5f
[DEBUG] 2021-12-14 22:33:23.329 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@41fe8e5f
[DEBUG] 2021-12-14 22:33:23.329 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@5a237731
[DEBUG] 2021-12-14 22:33:23.332 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@10fda3d0
[DEBUG] 2021-12-14 22:33:23.333 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@25d2f66
[DEBUG] 2021-12-14 22:33:23.334 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@17d32e9b
[DEBUG] 2021-12-14 22:33:23.334 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@17d32e9b
[DEBUG] 2021-12-14 22:33:23.335 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@10afe71a
